week,Load: Practice,Load: S&C,Load: Competition,Distance,High Speed Distance,Sprints,Sleep,Soreness
15,575.0,173.0,0.0,34100.2,5634.7,177.0,67.75,33.25
16,56.0,17.0,135.0,9044.2,61.2,8.0,52.5,63.5
22,644.0,31.0,0.0,20587.1,1725.7,48.0,51.0,41.142857142857146
9,464.0,103.0,0.0,25924.699999999997,2491.1000000000004,103.0,77.0,8.0
6,0.0,0.0,0.0,0.0,0.0,0.0,41.833333333333336,17.166666666666668
10,0.0,0.0,0.0,0.0,0.0,0.0,69.5,5.0
22,494.0,100.0,0.0,19277.7,2313.7,78.0,66.66666666666667,43.5
16,178.0,83.0,302.0,40404.5,5141.0,158.0,85.42857142857143,10.857142857142858
8,0.0,0.0,0.0,0.0,0.0,0.0,78.66666666666667,49.142857142857146
3,0.0,0.0,0.0,0.0,0.0,0.0,89.0,14.5
23,283.0,197.0,0.0,15622.0,1581.6000000000001,63.0,60.0,54.57142857142857
3,0.0,99.0,0.0,1619.6,0.0,0.0,48.6,43.8
2,0.0,128.0,0.0,0.0,0.0,0.0,48.0,49.285714285714285
2,0.0,0.0,0.0,0.0,0.0,0.0,58.6,27.6
9,517.0,45.0,0.0,15950.3,1023.0,45.0,28.142857142857142,23.142857142857142
18,0.0,75.0,0.0,11769.2,0.0,0.0,59.5,18.142857142857142
21,0.0,12.0,0.0,4842.3,0.0,0.0,27.0,37.0
5,0.0,0.0,0.0,0.0,0.0,0.0,69.33333333333333,31.666666666666668
39,0.0,0.0,0.0,0.0,0.0,0.0,36.0,50.75
5,372.0,170.0,0.0,20213.2,782.1,23.0,82.0,7.5
16,261.0,81.0,596.0,43256.2,7507.1,176.0,94.0,23.142857142857142
6,286.0,113.0,0.0,17039.7,267.0,23.0,46.2,43.714285714285715
0,0.0,0.0,0.0,0.0,0.0,0.0,72.28571428571429,14.571428571428571
1,0.0,0.0,0.0,0.0,0.0,0.0,80.0,63.25
16,0.0,0.0,0.0,0.0,0.0,0.0,61.0,71.0
